,Date,stock,pred1,pred1_req,pred2,pred2_req,pred3,pred3_req,buy_tier,buy_score,buy_score_log,buy_instruction,12pm_price,target_price,peak_after_12,p_inc,target_inc,outcome,true_peak_after_12,true_p_inc,true_outcome
0,2022-05-13,AAPL,1.0,0.54,0.9,0.41,0.5,0.2,3,8.05,0.906,BUY,147.24,147.98,148.1,0.58,0.5,true positive,,,true positive
1,2022-05-17,AAPL,0.25,0.55,0.05,0.47,0.0,0.17,0,0.56,-0.252,NO BUY,147.86,148.6,149.64,1.2,0.5,false negative,149.77,1.29,false negative
2,2022-05-18,AAPL,0.3,0.56,0.2,0.49,0.0,0.24,0,0.94,-0.027,NO BUY,142.95,143.66,143.55,0.42,0.5,true negative,143.69,0.52,false negative
3,2022-05-19,AAPL,1.0,0.55,1.0,0.45,0.8,0.23,3,9.02,0.955,BUY,139.63,140.33,139.76,0.09,0.5,false positive,140.04,0.29,false positive
4,2022-05-20,AAPL,0.95,0.56,0.6,0.46,0.0,0.15,2,4.0,0.602,BUY,136.71,137.39,137.6,0.65,0.5,true positive,137.88,0.86,true positive
5,2022-05-12,AAPL,0.5,0.54,0.5,0.42,0.2,0.15,2,4.45,0.648,BUY,141.59,142.3,142.86,0.9,,true positive,,,true positive
6,2022-05-16,AAPL,0.65,0.58,0.5,0.53,0.0,0.21,1,2.56,0.408,NO BUY,146.44,147.17,147.37,0.64,0.5,false negative,147.52,0.74,false negative
7,2022-05-23,AAPL,1.0,0.59,1.0,0.49,0.8,0.19,3,9.45,0.975,BUY,142.49,143.2,143.15,0.46,0.5,false positive,143.26,0.54,true positive
8,2022-05-24,AAPL,1.0,0.59,1.0,0.58,0.65,0.41,3,6.5,0.813,BUY,139.23,139.93,140.61,0.99,0.5,true positive,140.94,1.23,true positive
9,2022-05-25,AAPL,1.0,0.59,0.85,0.53,0.5,0.37,3,6.15,0.789,BUY,140.02,140.72,141.71,1.21,0.5,true positive,141.79,1.26,true positive
10,2022-05-25,AAPL,1.0,0.59,0.8,0.54,0.3,0.34,2,5.06,0.704,BUY,140.02,140.72,141.71,1.21,0.5,true positive,141.79,1.26,true positive
11,2022-05-25,GOOG,0.55,0.59,0.5,0.54,0.2,0.34,0,2.45,0.389,NO BUY,2103.69,2114.21,2128.22,1.17,0.5,false negative,2130.89,1.29,false negative
12,2022-05-25,AMZN,1.0,0.59,1.0,0.54,0.55,0.34,3,6.66,0.823,BUY,2130.61,2141.26,2162.22,1.48,0.5,true positive,2163.5,1.54,true positive
13,2022-05-25,MSFT,0.75,0.59,0.55,0.54,0.25,0.34,2,4.02,0.604,BUY,259.46,260.76,264.3,1.87,0.5,true positive,264.58,1.97,true positive
14,2022-05-25,NVDA,1.0,0.59,1.0,0.54,0.8,0.34,3,7.4,0.869,BUY,167.06,167.9,170.84,2.26,0.5,true positive,171.11,2.42,true positive
15,2022-05-25,FB,0.95,0.59,0.8,0.54,0.35,0.34,3,5.62,0.75,BUY,182.62,183.53,185.18,1.4,0.5,true positive,185.45,1.55,true positive
16,2022-05-26,AAPL,1.0,0.61,1.0,0.56,1.0,0.43,3,7.25,0.86,BUY,142.96,143.67,144.24,0.9,0.5,true positive,144.34,0.97,true positive
17,2022-05-26,GOOG,1.0,0.61,1.0,0.56,0.8,0.43,3,6.79,0.832,BUY,2160.81,2171.61,2177.34,0.76,0.5,true positive,2179.1,0.85,true positive
18,2022-05-26,AMZN,1.0,0.61,1.0,0.56,0.85,0.43,3,6.9,0.839,BUY,2219.0,2230.09,2250.47,1.42,0.5,true positive,2253.31,1.55,true positive
19,2022-05-26,MSFT,1.0,0.61,0.75,0.56,0.25,0.43,2,4.56,0.659,BUY,264.94,266.26,266.77,0.69,0.5,true positive,267.11,0.82,true positive
20,2022-05-26,NVDA,1.0,0.61,1.0,0.56,1.0,0.43,3,7.25,0.86,BUY,177.16,178.05,180.3,1.77,0.5,true positive,180.92,2.12,true positive
21,2022-05-26,FB,1.0,0.61,1.0,0.56,0.95,0.43,3,7.13,0.853,BUY,189.92,190.87,192.76,1.5,0.5,true positive,192.83,1.53,true positive
22,2022-05-27,AAPL,1.0,0.61,0.8,0.54,0.1,0.17,2,4.71,0.673,BUY,148.6,149.34,149.65,0.71,0.5,true positive,149.68,0.73,true positive
23,2022-05-27,GOOG,1.0,0.61,0.95,0.54,0.15,0.17,2,5.28,0.723,BUY,2243.75,2254.97,2255.98,0.55,0.5,true positive,2257.36,0.61,true positive
24,2022-05-27,AMZN,1.0,0.61,0.95,0.54,0.15,0.17,2,5.28,0.723,BUY,2270.03,2281.38,2303.38,1.47,0.5,true positive,2303.74,1.49,true positive
25,2022-05-27,MSFT,0.8,0.61,0.5,0.54,0.0,0.17,1,2.74,0.438,NO BUY,272.22,273.58,273.24,0.37,0.5,true negative,273.34,0.41,true negative
26,2022-05-27,NVDA,1.0,0.61,0.9,0.54,0.1,0.17,2,4.89,0.689,BUY,185.51,186.44,188.46,1.59,0.5,true positive,188.81,1.78,true positive
27,2022-05-27,FB,0.95,0.61,0.7,0.54,0.05,0.17,2,4.15,0.618,BUY,193.73,194.7,195.24,0.78,0.5,true positive,195.33,0.83,true positive
28,2022-05-31,AAPL,1.0,0.62,1.0,0.57,0.65,0.28,3,7.19,0.857,BUY,149.98,150.73,150.52,0.36,0.5,false positive,150.66,0.45,false positive
29,2022-05-31,GOOG,1.0,0.62,1.0,0.57,1.0,0.28,3,8.44,0.926,BUY,2295.43,2306.91,2324.96,1.29,0.5,true positive,2328.67,1.45,true positive
30,2022-05-31,AMZN,1.0,0.62,1.0,0.57,0.95,0.28,3,8.26,0.917,BUY,2376.0,2387.88,2438.36,2.62,0.5,true positive,2439.89,2.69,true positive
31,2022-05-31,MSFT,1.0,0.62,1.0,0.57,0.55,0.28,3,6.83,0.834,BUY,272.97,274.33,274.27,0.48,0.5,false positive,274.77,0.66,true positive
32,2022-05-31,NVDA,1.0,0.62,1.0,0.57,0.8,0.28,3,7.72,0.888,BUY,189.51,190.46,190.39,0.46,0.5,false positive,190.74,0.65,true positive
33,2022-05-31,FB,1.0,0.62,1.0,0.57,0.95,0.28,3,8.26,0.917,BUY,196.89,197.87,197.57,0.35,0.5,false positive,197.6,0.36,false positive
34,2022-06-01,AAPL,1.0,0.64,1.0,0.57,0.4,0.29,3,6.2,0.792,BUY,148.23,148.97,149.85,1.09,0.5,true positive,149.99,1.19,true positive
35,2022-06-01,GOOG,1.0,0.64,1.0,0.57,0.45,0.29,3,6.37,0.804,BUY,2286.59,2298.02,2305.44,0.82,0.5,true positive,2305.68,0.83,true positive
36,2022-06-01,AMZN,1.0,0.64,1.0,0.57,0.6,0.29,3,6.89,0.838,BUY,2426.27,2438.4,2473.53,1.95,0.5,true positive,2476.0,2.05,true positive
37,2022-06-01,MSFT,1.0,0.64,1.0,0.57,0.4,0.29,3,6.2,0.792,BUY,271.25,272.61,274.52,1.21,0.5,true positive,274.76,1.29,true positive
38,2022-06-01,NVDA,0.8,0.64,0.65,0.57,0.1,0.29,2,3.74,0.573,BUY,183.35,184.27,185.45,1.15,0.5,true positive,185.68,1.27,true positive
39,2022-06-01,FB,1.0,0.64,1.0,0.57,0.6,0.29,3,6.89,0.838,BUY,192.61,193.57,194.1,0.77,0.5,true positive,194.17,0.81,true positive
40,2022-06-02,AAPL,0.85,0.63,0.7,0.6,0.3,0.38,2,4.31,0.634,BUY,149.45,150.2,151.23,1.19,0.5,true positive,151.27,1.22,true positive
41,2022-06-02,GOOG,1.0,0.63,1.0,0.6,0.45,0.38,3,5.94,0.774,BUY,2318.12,2329.71,2356.55,1.66,0.5,true positive,2357.96,1.72,true positive
42,2022-06-02,AMZN,0.95,0.63,0.85,0.6,0.3,0.38,2,4.71,0.673,BUY,2449.65,2461.9,2510.88,2.5,0.5,true positive,2512.2,2.55,true positive
43,2022-06-02,MSFT,0.7,0.63,0.6,0.6,0.3,0.38,2,3.9,0.591,BUY,268.05,269.39,274.62,2.45,0.5,true positive,274.65,2.46,true positive
44,2022-06-02,NVDA,1.0,0.63,1.0,0.6,0.95,0.38,3,7.25,0.86,BUY,193.14,194.11,196.09,1.53,0.5,true positive,196.19,1.58,true positive
45,2022-06-02,FB,1.0,0.63,1.0,0.6,0.7,0.38,3,6.6,0.82,BUY,194.54,195.51,200.67,3.15,0.5,true positive,200.93,3.28,true positive
46,2022-06-03,AAPL,0.8,0.63,0.55,0.58,0.1,0.29,1,3.06,0.486,NO BUY,145.13,145.86,146.24,0.76,0.5,false negative,146.34,0.83,false negative
47,2022-06-03,GOOG,1.0,0.63,1.0,0.58,0.4,0.29,3,6.19,0.792,BUY,2280.01,2291.41,2298.9,0.83,0.5,true positive,2298.9,0.83,true positive
48,2022-06-03,AMZN,0.9,0.63,0.7,0.58,0.1,0.29,2,3.98,0.6,BUY,2443.5,2455.72,2460.89,0.71,0.5,true positive,2463.95,0.84,true positive
49,2022-06-03,MSFT,1.0,0.63,0.95,0.58,0.4,0.29,3,6.1,0.785,BUY,269.33,270.68,271.34,0.75,0.5,true positive,271.5,0.81,true positive
50,2022-06-03,NVDA,0.95,0.63,0.85,0.58,0.3,0.29,3,5.51,0.741,BUY,187.26,188.2,189.82,1.37,0.5,true positive,189.99,1.46,true positive
51,2022-06-03,FB,1.0,0.63,0.95,0.58,0.35,0.29,3,5.93,0.773,BUY,191.12,192.08,193.29,1.14,0.5,true positive,193.35,1.17,true positive
52,2022-06-06,AAPL,1.0,0.6,0.9,0.53,0.3,0.21,3,6.29,0.799,BUY,146.52,147.25,146.85,0.23,0.5,false positive,146.89,0.25,false positive
53,2022-06-06,GOOG,0.95,0.6,0.6,0.53,0.1,0.21,2,4.19,0.622,BUY,2361.56,2373.37,2360.07,-0.06,0.5,false positive,2362.15,0.02,false positive
